fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,,-1,True,,0.4930425297882195,0.005214862059801817,,,481,,,0.4772727272727273,,False,,,,,,0,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,0.999,999,True,0.16021013828125896,0.16021013828125896,0.0765969455242157,,-1.0,232,792.0,122.0,0.15404040404040403,0.1920997920997921,False,0.21561338289962825,0.02666666666666667,0.0,,,0,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,,-1,True,,0.4930425297882195,0.005214862059801817,,,481,,,0.4772727272727273,,False,,,,,,0,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,0.997,997,True,0.2036980679760852,0.2036980679760852,0.046121615916490555,,-1.0,232,792.0,157.0,0.19823232323232323,0.18735966735966736,False,0.2732342007434944,0.044444444444444446,0.0,,,0,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,0.987,987,True,0.27018834254825635,0.27018834254825635,0.022070040926337242,,-1.0,232,792.0,203.0,0.2563131313131313,0.20124740124740126,False,0.34944237918215615,0.06666666666666667,0.0,,,0,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,,-1,True,,0.4930425297882195,0.005214862059801817,,,481,,,0.4772727272727273,,False,,,,,,0,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,,-1,True,,0.5849190081948702,0.005214862059801817,,,481,,,0.5669191919191919,,False,,,,,,0,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,232,792.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,,-1,True,,0.5849190081948702,0.005214862059801817,,,481,,,0.5669191919191919,,False,,,,,,0,person,0.1,0.5,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,0.999,999,True,0.2043402658165589,0.2043402658165589,0.0765969455242157,,-1.0,232,792.0,154.0,0.19444444444444445,0.1920997920997921,False,0.26765799256505574,0.044444444444444446,0.0,,,0,person,0.2,0.5,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,0.997,997,True,0.25776851859826,0.25776851859825994,0.046121615916490555,,-1.0,232,792.0,199.0,0.25126262626262624,0.18735966735966736,False,0.34014869888475835,0.06666666666666667,0.034482758620689655,,,0,person,0.2,0.5,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,,-1,True,,0.5849190081948702,0.005214862059801817,,,481,,,0.5669191919191919,,False,,,,,,0,person,0.2,0.5,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,15
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,,-1,True,,0.7781774580335731,0.0003828919434454292,,,481,,,0.7891891891891892,,False,,,,,,0,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,,-1,True,,0.7781774580335731,0.0003828919434454292,,,481,,,0.7891891891891892,,False,,,,,,0,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,,-1,True,,0.7781774580335731,0.0003828919434454292,,,481,,,0.7891891891891892,,False,,,,,,0,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,,-1,True,,0.8321342925659472,0.0003828919434454292,,,481,,,0.8432432432432433,,False,,,,,,0,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,False,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,,-1,True,,0.8321342925659472,0.0003828919434454292,,,481,,,0.8432432432432433,,False,,,,,,0,rider,0.1,0.5,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,region_crc,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,139,185.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,heuristic,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
,,,,-1,True,,0.8321342925659472,0.0003828919434454292,,,481,,,0.8432432432432433,,False,,,,,,0,rider,0.2,0.5,argmax,mask2former_swinb_cityscapes,acdc_night_targetcal25,7
